 ,Area,Mean,Min,Max,X,Y
1,503,255,255,255,1333.158,714.313
2,502,255,255,255,1154.904,721.514
3,500,255,255,255,1131.334,759.666
4,501,255,255,255,831.256,823.410
5,502,255,255,255,987.560,836.116
6,503,255,255,255,929.464,896.108
7,504,255,255,255,1209.486,1096.145
8,502,255,255,255,858.524,1201.592
9,502,255,255,255,1180.365,1210.635
10,503,255,255,255,1449.500,1217.925
11,503,255,255,255,1458.617,1294.347
12,503,255,255,255,1060.387,1308.788
13,501,255,255,255,925.744,1454.410
14,502,255,255,255,887.556,1456.209
