Groups,Section,perk stained
Control,2a2b,2
Control,2a2b,1
Control,2a2b,4
Control,2a2b,3
Control,2a2b,3
Control,2a2b,4
Control,2a2b,4
Control,2a2b,4
Control,2a2b,1
Control,2a2b,4
Control,2a2b,2
Control,2a2b,4
Control,2a2b,8
Control,2a2b,2
Control,2a2b,5
Control,2b,0
Control,2b,0
Control,2b,0
Control,2b,0
Control,2b,2
Control,2b,3
Control,2b,3
Control,2b,6
Control,2b,3
Control,2b,1
Control,2b,2
Control,2b,6
Control,2b,5
Control,2b,0
Control,2b,0
Control,3s1,0
Control,3s1,1
Control,3s1,3
Control,3s1,5
Control,3s1,3
Control,3s1,8
Control,3s1,7
Control,3s1,4
Control,3s1,4
Control,3s1,6
Control,3s1,2
Control,3s1,5
Control,3s1,3
Control,3s1,0
Control,3s1,3
Experimental,2a2b,1
Experimental,2a2b,0
Experimental,2a2b,5
Experimental,2a2b,2
Experimental,2a2b,1
Experimental,2a2b,1
Experimental,2a2b,0
Experimental,2a2b,0
Experimental,2a2b,1
Experimental,2a2b,1
Experimental,2a2b,2
Experimental,2a2b,0
Experimental,2a2b,2
Experimental,2a2b,2
Experimental,2b,1
Experimental,2b,1
Experimental,2b,2
Experimental,2b,2
Experimental,2b,1
Experimental,2b,0
Experimental,2b,3
Experimental,2b,0
Experimental,2b,6
Experimental,2b,1
Experimental,2b,0
Experimental,2b,0
Experimental,2b,4
Experimental,3s1,1
Experimental,3s1,3
Experimental,3s1,6
Experimental,3s1,3
Experimental,3s1,2
Experimental,3s1,1
Experimental,3s1,2
Experimental,3s1,1
Experimental,3s1,3
Experimental,3s1,2
Experimental,3s1,0
Experimental,3s1,8
